reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
A2AVMXNBKEL5T6,B000WOXPNS,1,1,5,This is a great song.  It reminds me of rolling down the highway on a really sunny day. One of my summer anthems.,This is a great song . It reminds me of rolling down the highway on a really sunny day .
A1B7R4FDTNQZWE,B000WOT9K6,1,1,5,I certainly enjoyed this item.  I would definitely recommend it to any and everyone who is interested in this item!,I certainly enjoyed this item . I would definitely recommend it to any and everyone who is interested in this item !
A3AGJ0NQXOW8M1,B000WOT9K6,1,1,5,"IF YOU LOVE BACK , BACK, BACK, UMM BACK IN THE DAY MUSIC, YOU WILL LOVE THIS ONE..TAKES YA BACK..Smoochiesss.....","IF YOU LOVE BACK , BACK , BACK , UMM BACK IN THE DAY MUSIC , YOU WILL LOVE THIS ONE .. TAKES YA BACK .."
A34UTNSRNF2AYB,B000WOT9K6,1,1,5,This one brings my Switch collection in to form. Switch made great slow songs and this is one of my all-time favorites,Switch made great slow songs and this is one of my all - time favorites
A2TXKUC8SN53H7,B000WOT9K6,1,1,5,Classic,Classic
A2ESUL8QBRVY8M,B000WOT9K6,1,1,4,Liked!!,Liked ! !
A32GF9L4D8GA90,B000WOT9K6,1,1,5,LOVE IT!,LOVE IT !
A2MC6P200KHJ2A,B000WOT9K6,1,1,4,I enjoy this song.,I enjoy this song .
AJDKYFN1XXZCJ,B000WOT9K6,1,1,5,im old school and trying to find a single from back then is hard i give it 2 thumbs up.,i m old school and trying to find a single from back then is hard i give it 2 thumbs up .
A2VNHSOB2EO2YY,B000WOT9K6,1,1,4,This song you can or cannot dance to and okay. It is a sing along song. Or you can hum it.,This song you can or can not dance to and okay . Or you can hum it .
A10M52OJSDB8WK,B000WOUTKA,1,1,5,"This is exactly the type of song I expected from Tom Petty. A very unique style  but, one that I really like.","This is exactly the type of song I expected from Tom Petty . A very unique style   but , one that I really like ."
ABLV63CEH2J75,B000WOUTKA,1,1,5,Chartering a Cat in the BVI and wanted to develop a play list with tunes that have words we can understand and that take us back to our Youth (or is it back to middle-age - all 4 couples are 70+). Now I just have to figure out how to create a play-list and down-load it into my Sansa Fuse MP3 player.,Chartering a Cat in the BVI and wanted to develop a play list with tunes that have words we can understand and that take us back to our Youth ( or is it back to middle - age - all 4 couples are 70 + ) . Now I just have to figure out how to create a play - list and down - load it into my Sansa Fuse MP3 player .
A2YV4LBS43Q0M2,B000WOUTKA,1,1,4,The iconic Tom Petty song.,The iconic Tom Petty song .
A2JE1FQQBSH8N0,B000WOUTKA,-1,-1,3,not sure why I pay for each song,not sure why I pay for each song
A2H1QAOQAEC0VZ,B000WOUTKA,1,1,5,Great!,Great !
A3DCOGGBKMJ8RN,B000WOUTKA,1,1,5,Love this song.,Love this song .
A1WU3GVYJNV3DC,B000WOUTKA,1,1,5,great song,great song
A3QL9TO6NVVGP9,B000WOUTKA,1,1,5,Love this song!!! Makes a good statement and hits home with so many people!! Nice & clear copy - you won't be disappointed!!,Love this song ! ! ! Makes a good statement and hits home with so many people ! ! Nice & clear copy - you wo n't be disappointed ! !
A3MWUPQ0PFB5ZZ,B000WOUTKA,1,1,5,Great,Great
